day_of_week,casual,member
1,25.788769445363965,13.7769164118204
2,21.926994248766434,11.872281210022342
3,19.80457253304862,12.015035164475087
4,18.23881262121572,11.754909926901687
5,19.672062732621455,11.83808344339105
6,21.99417762285393,12.311571842785602
7,25.093819708518467,13.605966354422783
